DEPTO;TIPOLOGIA;SUPERFICIE UTIL;SUPERFICIE TERRAZA;SUPERFICIE TOTAL;Orientacion;ESTACIONAMIENTO;BODEGA;Valor;Bono Vendedor;PISO;PRORRATEO;ROL DEPTO;ROL BODEGA
821;B;59.71;4.54;64.25;PONIENTE;170;214;3500;0;8;;;
822;B;59.71;4.54;64.25;NORTE;169;172;3458;0;8;;;
823;A;51.64;3.42;55.06;NORTE;65;202;2749;0;8;;;
824;A;51.64;3.42;55.06;NORTE;66;157;2749;0;8;;;
913;A;51.64;3.42;55.06;NORTE;208;152;2760;0;9;;;
914;A;51.64;3.42;55.06;NORTE;209;148;2760;0;9;;;
915;B;59.71;4.54;64.25;ORIENTE;171;177;3403;0;9;;;
916;A;51.64;3.42;55.06;SUR;38;137;2744;0;9;;;
917;A;51.64;3.42;55.06;SUR;37;138;2744;0;9;;;
918;A;51.64;3.42;55.06;SUR;36;139;2744;0;9;;;
919;A;51.64;3.42;55.06;SUR;35;140;2744;0;9;;;
920;A;51.64;3.42;55.06;SUR;34;141;2744;0;9;;;
921;B;59.71;4.54;64.25;PONIENTE;175;210;3560;0;9;;;
922;B;59.71;4.54;64.25;NORTE;176;175;3517;0;9;;;
923;A;51.64;3.42;55.06;NORTE;61;156;2760;0;9;;;
924;A;51.64;3.42;55.06;NORTE;62;171;2760;0;9;;;
1013;A;51.64;3.42;55.06;NORTE;204;185;2770;0;10;;;
1014;A;51.64;3.42;55.06;NORTE;205;196;2770;0;10;;;
1015;B;59.71;4.54;64.25;ORIENTE;174;170;3427;0;10;;;
1016;A;51.64;3.42;55.06;SUR;43;168;2755;0;10;;;
1017;A;51.64;3.42;55.06;SUR;42;133;2755;0;10;;;
1018;A;51.64;3.42;55.06;SUR;41;134;2755;0;10;;;
1019;A;51.64;3.42;55.06;SUR;40;135;2755;0;10;;;
1020;A;51.64;3.42;55.06;SUR;39;136;2755;0;10;;;
1021;B;59.71;4.54;64.25;PONIENTE;172;199;3583;0;10;;;
1022;B;59.71;4.54;64.25;NORTE;173;182;3517;0;10;;;
1023;A;51.64;3.42;55.06;NORTE;206;154;2770;0;10;;;
1024;A;51.64;3.42;55.06;NORTE;207;216;2770;0;10;;;
