DEPTO;TIPOLOGIA;SUPERFICIE UTIL;SUPERFICIE TERRAZA;SUPERFICIE TOTAL;Orientacion;ESTACIONAMIENTO;BODEGA;Valor;Bono Vendedor;PISO;PRORRATEO;ROL DEPTO;ROL BODEGA
810;B;;;;;145;80;3397;;8;0,980163757;04535-00087;04535-00305
811;A;;;;;27;52;2768;;8;0,865376753;04535-00088;04535-00277
812;A;;;;;26;68;2768;;8;0,861211095;04535-00089;04535-00293
901;A;;;;;126;6;2779;;9;0,864142484;04535-00090;04535-00231
902;A;;;;;119;60;2779;;9;0,865376753;04535-00091;04535-00285
903;B;;;;;165;79;3353;;9;1,013643299;04535-00092;04535-00304
904;A;;;;;127;59;2794;;9;0,842079928;04535-00093;04535-00284
905;A;;;;;118;48;2719;;9;0,845319884;04535-00094;04535-00273
906;A;;;;;128;102;2719;;9;0,877256591;04535-00095;04535-00327
907;A;;;;;117;32;2719;;9;0,86013111;04535-00096;04535-00257
908;A;;;;;140;67;2719;;9;0,847171287;04535-00097;04535-00292
909;B;;;;;161;12;3507;;9;1,024134585;04535-00098;04535-00237
910;B;;;;;160;87;3455;;9;0,975843816;04535-00099;04535-00312
911;A;;;;;116;53;2779;;9;0,859822543;04535-00100;04535-00278
912;A;;;;;139;47;2779;;9;0,867073873;04535-00101;04535-00272
1001;A;;;;;149;1;2789;;10;0,862753932;04535-00102;04535-00226
1002;A;;;;;148;65;2789;;10;0,857354005;04535-00103;04535-00290
1003;B;;;;;162;62;3376;;10;0,98587225;04535-00104;04535-00287
1004;A;;;;;147;63;2805;;10;0,839302823;04535-00105;04535-00288
1005;A;;;;;123;15;2729;;10;0,850256959;04535-00106;04535-00240
1006;A;;;;;122;13;2729;;10;0,865222469;04535-00107;04535-00238
1007;A;;;;;124;3;2805;;10;0,860748245;04535-00108;04535-00228
1008;A;;;;;121;2;2729;;10;0,847788422;04535-00109;04535-00227
1009;B;;;;;163;76;3530;;10;1,022283181;04535-00110;04535-00301
1010;B;;;;;164;41;3479;;10;1,002380596;04535-00111;04535-00266
1011;A;;;;;28;19;2789;;10;0,863371066;04535-00112;04535-00244
1012;A;;;;;120;38;2789;;10;0,870005261;04535-00113;04535-00263
