DEPTO;TIPOLOGIA;SUPERFICIE UTIL;SUPERFICIE TERRAZA;SUPERFICIE TOTAL;Orientacion;ESTACIONAMIENTO;BODEGA;Valor;Bono Vendedor;PISO;PRORRATEO;ROL DEPTO;ROL BODEGA
619;A;51.64;3.42;55.06;SUR;85;116;2713;0;6;0,857953034;04535-00172;04535-00341
620;A;51.64;3.42;55.06;SUR;84;117;2713;0;6;0,844965459;04535-00173;04535-00342
621;B;59.71;4.54;64.25;PONIENTE;136;195;3499;0;6;1,020761567;04535-00174;04535-00420
622;B;59.71;4.54;64.25;NORTE;137;184;3457;0;6;0,986128033;04535-00175;04535-00409
623;A;51.64;3.42;55.06;NORTE;73;203;2728;0;6;0,862900682;04535-00176;04535-00428
624;A;51.64;3.42;55.06;NORTE;60;204;2728;0;6;0,87094061;04535-00177;04535-00429
713;A;51.64;3.42;55.06;NORTE;67;208;2738;0;7;0,865992962;04535-00178;04535-00433
714;A;51.64;3.42;55.06;NORTE;68;179;2738;0;7;0,863828366;04535-00179;04535-00404
715;B;59.71;4.54;64.25;ORIENTE;135;207;3356;0;7;1,009320131;04535-00180;04535-00432
716;A;51.64;3.42;55.06;SUR;83;161;2723;0;7;0,841873179;04535-00181;04535-00386
717;A;51.64;3.42;55.06;SUR;82;162;2723;0;7;0,844965459;04535-00182;04535-00387
718;A;51.64;3.42;55.06;SUR;81;158;2723;0;7;0,86011763;04535-00183;04535-00383
719;A;51.64;3.42;55.06;SUR;80;159;2723;0;7;0,858107648;04535-00184;04535-00384
720;A;51.64;3.42;55.06;SUR;79;160;2723;0;7;0,845120073;04535-00185;04535-00385
721;B;59.71;4.54;64.25;PONIENTE;167;147;3512;0;7;1,023544619;04535-00186;04535-00372
722;B;59.71;4.54;64.25;NORTE;134;173;3469;0;7;0,986901103;04535-00187;04535-00398
723;A;51.64;3.42;55.06;NORTE;69;150;2738;0;7;0,86320991;04535-00188;04535-00375
724;A;51.64;3.42;55.06;NORTE;70;200;2738;0;7;0,871095224;04535-00189;04535-00425
813;A;51.64;3.42;55.06;NORTE;63;217;2749;0;8;0,870785996;04535-00190;04535-00442
814;A;51.64;3.42;55.06;NORTE;64;215;2749;0;8;0,885010483;04535-00191;04535-00440
815;B;59.71;4.54;64.25;ORIENTE;168;174;3343;0;8;1,012412411;04535-00192;04535-00399
816;A;51.64;3.42;55.06;SUR;78;142;2733;0;8;0,842646249;04535-00193;04535-00367
817;A;51.64;3.42;55.06;SUR;77;143;2733;0;8;0,846202371;04535-00194;04535-00368
818;A;51.64;3.42;55.06;SUR;76;144;2733;0;8;0,86166377;04535-00195;04535-00369
819;A;51.64;3.42;55.06;SUR;75;145;2733;0;8;0,859653788;04535-00196;04535-00370
820;A;51.64;3.42;55.06;SUR;74;151;2733;0;8;0,845893143;04535-00197;04535-00376
821;B;59.71;4.54;64.25;PONIENTE;170;214;3500;0;8;1,002826344;04535-00198;04535-00439
822;B;59.71;4.54;64.25;NORTE;169;172;3458;0;8;0,989993383;04535-00199;04535-00397
823;A;51.64;3.42;55.06;NORTE;65;202;2749;0;8;0,864910664;04535-00200;04535-00427
