Banco Central de Chile - Indicadores diarios - Unidad de fomento (UF) (Pesos) - Año 2020;;
;;
Dia;Valor;
12/8/2020;28.661,88;
13/8/2020;28.662,81;
14/8/2020;28.663,73;
15/8/2020;28.664,65;
16/8/2020;28.665,58;
17/8/2020;28.666,50;
18/8/2020;28.667,43;
19/8/2020;28.668,35;
20/8/2020;28.669,28;
21/8/2020;28.670,20;
22/8/2020;28.671,12;
23/8/2020;28.672,05;
24/8/2020;28.672,97;
25/8/2020;28.673,90;
26/8/2020;28.674,82;
27/8/2020;28.675,75;
28/8/2020;28.676,67;
29/8/2020;28.677,60;
30/8/2020;28.678,52;
31/8/2020;28.679,45;
1/9/2020;28.680,37;
2/9/2020;28.681,30;
3/9/2020;28.682,22;
4/9/2020;28.683,14;
5/9/2020;28.684,07;
6/9/2020;28.684,99;
7/9/2020;28.685,92;
8/9/2020;28.686,84;
9/9/2020;28.687,77;
;;
