Banco Central de Chile - Indicadores diarios - Unidad de fomento (UF) (Pesos) - Año 2020;;
;;
Dia;Valor;
01-01-2020;28.310,86;
02-01-2020;28.311,77;
03-01-2020;28.312,68;
04-01-2020;28.313,60;
05-01-2020;28.314,51;
06-01-2020;28.315,42;
07-01-2020;28.316,33;
08-01-2020;28.317,25;
09-01-2020;28.318,16;
10-01-2020;28.319,07;
11-01-2020;28.319,99;
12-01-2020;28.320,90;
13-01-2020;28.321,81;
14-01-2020;28.322,73;
15-01-2020;28.323,64;
16-01-2020;28.324,55;
17-01-2020;28.325,47;
18-01-2020;28.326,38;
19-01-2020;28.327,29;
20-01-2020;28.328,21;
21-01-2020;28.329,12;
22-01-2020;28.330,03;
23-01-2020;28.330,95;
24-01-2020;28.331,86;
25-01-2020;28.332,77;
26-01-2020;28.333,69;
27-01-2020;28.334,60;
28-01-2020;28.335,51;
29-01-2020;28.336,43;
30-01-2020;28.337,34;
31-01-2020;28.338,25;
01-02-2020;28.339,17;
02-02-2020;28.340,08;
03-02-2020;28.341,00;
04-02-2020;28.341,91;
05-02-2020;28.342,82;
06-02-2020;28.343,74;
07-02-2020;28.344,65;
08-02-2020;28.345,56;
09-02-2020;28.346,48;
10-02-2020;28.352,33;
11-02-2020;28.358,18;
12-02-2020;28.364,03;
13-02-2020;28.369,88;
14-02-2020;28.375,73;
15-02-2020;28.381,59;
16-02-2020;28.387,44;
17-02-2020;28.393,30;
18-02-2020;28.399,15;
19-02-2020;28.405,01;
20-02-2020;28.410,87;
21-02-2020;28.416,73;
22-02-2020;28.422,60;
23-02-2020;28.428,46;
24-02-2020;28.434,32;
25-02-2020;28.440,19;
26-02-2020;28.446,06;
27-02-2020;28.451,93;
28-02-2020;28.457,80;
29-02-2020;28.463,67;
01-03-2020;28.469,54;
02-03-2020;28.475,41;
03-03-2020;28.481,29;
04-03-2020;28.487,16;
05-03-2020;28.493,04;
06-03-2020;28.498,92;
07-03-2020;28.504,80;
08-03-2020;28.510,68;
09-03-2020;28.516,56;
10-03-2020;28.520,23;
11-03-2020;28.523,91;
12-03-2020;28.527,58;
13-03-2020;28.531,25;
14-03-2020;28.534,93;
15-03-2020;28.538,60;
16-03-2020;28.542,28;
17-03-2020;28.545,95;
18-03-2020;28.549,63;
19-03-2020;28.553,31;
20-03-2020;28.556,98;
21-03-2020;28.560,66;
22-03-2020;28.564,34;
23-03-2020;28.568,02;
24-03-2020;28.571,70;
25-03-2020;28.575,38;
26-03-2020;28.579,06;
27-03-2020;28.582,74;
28-03-2020;28.586,42;
29-03-2020;28.590,10;
30-03-2020;28.593,78;
31-03-2020;28.597,46;
01-04-2020;28.601,15;
02-04-2020;28.604,83;
03-04-2020;28.608,51;
04-04-2020;28.612,20;
05-04-2020;28.615,88;
06-04-2020;28.619,57;
07-04-2020;28.623,25;
08-04-2020;28.626,94;
09-04-2020;28.630,63;
10-04-2020;28.633,49;
11-04-2020;28.636,35;
12-04-2020;28.639,21;
13-04-2020;28.642,07;
14-04-2020;28.644,93;
15-04-2020;28.647,79;
16-04-2020;28.650,65;
17-04-2020;28.653,51;
18-04-2020;28.656,37;
19-04-2020;28.659,23;
20-04-2020;28.662,09;
21-04-2020;28.664,96;
22-04-2020;28.667,82;
23-04-2020;28.670,68;
24-04-2020;28.673,54;
25-04-2020;28.676,41;
26-04-2020;28.679,27;
27-04-2020;28.682,13;
28-04-2020;28.685,00;
29-04-2020;28.687,86;
30-04-2020;28.690,73;
01-05-2020;28.693,59;
02-05-2020;28.696,46;
03-05-2020;28.699,32;
04-05-2020;28.702,19;
05-05-2020;28.705,05;
06-05-2020;28.707,92;
07-05-2020;28.710,79;
08-05-2020;28.713,65;
09-05-2020;28.716,52;
10-05-2020;28.716,52;
11-05-2020;28.716,52;
12-05-2020;28.716,52;
