Banco Central de Chile - Indicadores diarios - Unidad de fomento (UF) (Pesos) - Año 2019;;
;;
Dia;Valor;
17/3/2019;27.565,76;
18/3/2019;27.565,76;
19/3/2019;27.565,76;
20/3/2019;27.565,76;
21/3/2019;27.565,76;
22/3/2019;27.565,76;
23/3/2019;27.565,76;
24/3/2019;27.565,76;
25/3/2019;27.565,76;
26/3/2019;27.565,76;
27/3/2019;27.565,76;
28/3/2019;27.565,76;
29/3/2019;27.565,76;
30/3/2019;27.565,76;
31/3/2019;27.565,76;
1/4/2019;27.565,76;
2/4/2019;27.565,76;
3/4/2019;27.565,76;
4/4/2019;27.565,76;
5/4/2019;27.565,76;
6/4/2019;27.565,76;
7/4/2019;27.565,76;
8/4/2019;27.565,76;
9/4/2019;27.565,76;
10/4/2019;27.570,34;
11/4/2019;27.574,93;
12/4/2019;27.579,51;
13/4/2019;27.584,10;
14/4/2019;27.588,68;
15/4/2019;27.593,27;
16/4/2019;27.597,86;
17/4/2019;27.602,45;
18/4/2019;27.607,04;
19/4/2019;27.611,63;
20/4/2019;27.616,22;
21/4/2019;27.620,81;
22/4/2019;27.625,40;
23/4/2019;27.629,99;
24/4/2019;27.634,59;
25/4/2019;27.639,18;
26/4/2019;27.643,78;
27/4/2019;27.648,37;
28/4/2019;27.652,97;
29/4/2019;27.657,57;
30/4/2019;27.662,17;
1/5/2019;27.666,77;
2/5/2019;27.671,37;
3/5/2019;27.675,97;
4/5/2019;27.680,57;
5/5/2019;27.685,17;
6/5/2019;27.689,77;
7/5/2019;27.694,38;
8/5/2019;27.698,98;
9/5/2019;27.703,59;
10/5/2019;27.706,27;
11/5/2019;27.708,94;
12/5/2019;27.711,62;
13/5/2019;27.714,30;
14/5/2019;27.716,98;
15/5/2019;27.719,66;
16/5/2019;27.722,34;
17/5/2019;27.725,01;
18/5/2019;27.727,69;
19/5/2019;27.730,37;
20/5/2019;27.733,05;
21/5/2019;27.735,73;
22/5/2019;27.738,41;
23/5/2019;27.741,09;
24/5/2019;27.743,77;
25/5/2019;27.746,45;
26/5/2019;27.749,14;
27/5/2019;27.751,82;
28/5/2019;27.754,50;
29/5/2019;27.757,18;
30/5/2019;27.759,86;
31/5/2019;27.762,55;
1/6/2019;27.765,23;
2/6/2019;27.767,91;
3/6/2019;27.770,60;
4/6/2019;27.773,28;
5/6/2019;27.775,96;
6/6/2019;27.778,65;
7/6/2019;27.781,33;
8/6/2019;27.784,02;
9/6/2019;27.786,70;
10/6/2019;27.792,24;
11/6/2019;27.797,78;
12/6/2019;27.803,33;
13/6/2019;27.808,87;
14/6/2019;27.814,42;
15/6/2019;27.819,96;
16/6/2019;27.825,51;
17/6/2019;27.831,06;
18/6/2019;27.836,61;
19/6/2019;27.842,16;
20/6/2019;27.847,71;
21/6/2019;27.853,27;
22/6/2019;27.858,82;
23/6/2019;27.864,38;
24/6/2019;27.869,94;
25/6/2019;27.875,49;
26/6/2019;27.881,05;
27/6/2019;27.886,61;
28/6/2019;27.892,17;
29/6/2019;27.897,74;
30/6/2019;27.903,30;
1/7/2019;27.908,86;
2/7/2019;27.914,43;
3/7/2019;27.920,00;
4/7/2019;27.925,56;
5/7/2019;27.931,13;
6/7/2019;27.936,70;
7/7/2019;27.942,27;
8/7/2019;27.947,85;
9/7/2019;27.953,42;
10/7/2019;27.953,42;
11/7/2019;27.953,42;
12/7/2019;27.953,42;
13/7/2019;27.953,42;
14/7/2019;27.953,42;
15/7/2019;27.953,42;
16/7/2019;27.953,42;
17/7/2019;27.953,42;
18/7/2019;27.953,42;
19/7/2019;27.953,42;
20/7/2019;27.953,42;
21/7/2019;27.953,42;
22/7/2019;27.953,42;
23/7/2019;27.953,42;
24/7/2019;27.953,42;
25/7/2019;27.953,42;
26/7/2019;27.953,42;
27/7/2019;27.953,42;
28/7/2019;27.953,42;
29/7/2019;27.953,42;
30/7/2019;27.953,42;
31/7/2019;27.953,42;
1/8/2019;27.953,42;
2/8/2019;27.953,42;
3/8/2019;27.953,42;
4/8/2019;27.953,42;
5/8/2019;27.953,42;
6/8/2019;27.953,42;
7/8/2019;27.953,42;
8/8/2019;27.953,42;
9/8/2019;27.953,42;
10/8/2019;27.955,22;
11/8/2019;27.957,02;
12/8/2019;27.958,83;
13/8/2019;27.960,63;
14/8/2019;27.962,43;
15/8/2019;27.964,23;
16/8/2019;27.966,03;
17/8/2019;27.967,84;
18/8/2019;27.969,64;
19/8/2019;27.971,44;
20/8/2019;27.973,25;
21/8/2019;27.975,05;
22/8/2019;27.976,85;
23/8/2019;27.978,65;
24/8/2019;27.980,46;
25/8/2019;27.982,26;
26/8/2019;27.984,06;
27/8/2019;27.985,87;
28/8/2019;27.987,67;
29/8/2019;27.989,48;
30/8/2019;27.991,28;
31/8/2019;27.993,08;
1/9/2019;27.994,89;
2/9/2019;27.996,69;
3/9/2019;27.998,50;
4/9/2019;28.000,30;
5/9/2019;28.002,11;
6/9/2019;28.003,91;
7/9/2019;28.005,72;
8/9/2019;28.007,52;
9/9/2019;28.009,33;
10/9/2019;28.011,20;
11/9/2019;28.013,06;
12/9/2019;28.014,93;
13/9/2019;28.016,79;
14/9/2019;28.018,66;
15/9/2019;28.020,52;
16/9/2019;28.022,39;
17/9/2019;28.024,26;
18/9/2019;28.026,12;
19/9/2019;28.027,99;
20/9/2019;28.029,86;
21/9/2019;28.031,72;
22/9/2019;28.033,59;
23/9/2019;28.035,46;
24/9/2019;28.037,33;
25/9/2019;28.039,19;
26/9/2019;28.041,06;
27/9/2019;28.042,93;
28/9/2019;28.044,80;
29/9/2019;28.046,66;
30/9/2019;28.048,53;
1/10/2019;28.050,40;
2/10/2019;28.052,27;
3/10/2019;28.054,14;
4/10/2019;28.056,00;
5/10/2019;28.057,87;
6/10/2019;28.059,74;
7/10/2019;28.061,61;
8/10/2019;28.063,48;
9/10/2019;28.065,35;
10/10/2019;28.065,35;
11/10/2019;28.065,35;
12/10/2019;28.065,35;
13/10/2019;28.065,35;
14/10/2019;28.065,35;
15/10/2019;28.065,35;
16/10/2019;28.065,35;
17/10/2019;28.065,35;
18/10/2019;28.065,35;
19/10/2019;28.065,35;
20/10/2019;28.065,35;
21/10/2019;28.065,35;
22/10/2019;28.065,35;
23/10/2019;28.065,35;
24/10/2019;28.065,35;
25/10/2019;28.065,35;
26/10/2019;28.065,35;
27/10/2019;28.065,35;
28/10/2019;28.065,35;
29/10/2019;28.065,35;
30/10/2019;28.065,35;
31/10/2019;28.065,35;
1/11/2019;28.065,35;
2/11/2019;28.065,35;
3/11/2019;28.065,35;
4/11/2019;28.065,35;
5/11/2019;28.065,35;
6/11/2019;28.065,35;
7/11/2019;28.065,35;
8/11/2019;28.065,35;
9/11/2019;28.065,35;
10/11/2019;28.072,81;
11/11/2019;28.080,26;
12/11/2019;28.087,72;
13/11/2019;28.095,18;
14/11/2019;28.102,65;
15/11/2019;28.110,11;
16/11/2019;28.117,58;
17/11/2019;28.125,05;
18/11/2019;28.132,52;
19/11/2019;28.139,99;
20/11/2019;28.147,47;
21/11/2019;28.154,94;
22/11/2019;28.162,42;
23/11/2019;28.169,90;
24/11/2019;28.177,39;
25/11/2019;28.184,87;
26/11/2019;28.192,36;
27/11/2019;28.199,85;
28/11/2019;28.207,34;
29/11/2019;28.214,83;
30/11/2019;28.222,33;
1/12/2019;28.229,83;
2/12/2019;28.237,32;
3/12/2019;28.244,83;
4/12/2019;28.252,33;
5/12/2019;28.259,83;
6/12/2019;28.267,34;
7/12/2019;28.274,85;
8/12/2019;28.282,36;
9/12/2019;28.289,87;
10/12/2019;28.290,78;
11/12/2019;28.291,69;
12/12/2019;28.292,61;
13/12/2019;28.293,52;
14/12/2019;28.294,43;
15/12/2019;28.295,34;
16/12/2019;28.296,26;
17/12/2019;28.297,17;
18/12/2019;28.298,08;
19/12/2019;28.298,99;
20/12/2019;28.299,91;
21/12/2019;28.300,82;
22/12/2019;28.301,73;
23/12/2019;28.302,64;
24/12/2019;28.303,56;
25/12/2019;28.304,47;
26/12/2019;28.305,38;
27/12/2019;28.306,29;
28/12/2019;28.307,21;
29/12/2019;28.308,12;
30/12/2019;28.309,03;
31/12/2019;28.309,94;
;;
