Banco Central de Chile - Indicadores diarios - Unidad de fomento (UF) (Pesos) - Año 2019;;
;;
Dia;Valor;
1/1/2019;27.565,79;
2/1/2019;27.565,79;
3/1/2019;27.565,79;
4/1/2019;27.565,79;
5/1/2019;27.565,79;
6/1/2019;27.565,79;
7/1/2019;27.565,79;
8/1/2019;27.565,79;
9/1/2019;27.565,79;
10/1/2019;27.564,90;
11/1/2019;27.564,01;
12/1/2019;27.563,12;
13/1/2019;27.562,23;
14/1/2019;27.561,34;
15/1/2019;27.560,45;
16/1/2019;27.559,56;
17/1/2019;27.558,67;
18/1/2019;27.557,78;
19/1/2019;27.556,89;
20/1/2019;27.556,01;
21/1/2019;27.555,12;
22/1/2019;27.554,23;
23/1/2019;27.553,34;
24/1/2019;27.552,45;
25/1/2019;27.551,56;
26/1/2019;27.550,67;
27/1/2019;27.549,78;
28/1/2019;27.548,89;
29/1/2019;27.548,00;
30/1/2019;27.547,11;
31/1/2019;27.546,22;
1/2/2019;27.545,34;
2/2/2019;27.544,45;
3/2/2019;27.543,56;
4/2/2019;27.542,67;
5/2/2019;27.541,78;
6/2/2019;27.540,89;
7/2/2019;27.540,00;
8/2/2019;27.539,11;
9/2/2019;27.538,22;
10/2/2019;27.539,20;
11/2/2019;27.540,19;
12/2/2019;27.541,17;
13/2/2019;27.542,15;
14/2/2019;27.543,14;
15/2/2019;27.544,12;
16/2/2019;27.545,10;
17/2/2019;27.546,09;
18/2/2019;27.547,07;
19/2/2019;27.548,05;
20/2/2019;27.549,04;
21/2/2019;27.550,02;
22/2/2019;27.551,00;
23/2/2019;27.551,99;
24/2/2019;27.552,97;
25/2/2019;27.553,95;
26/2/2019;27.554,94;
27/2/2019;27.555,92;
28/2/2019;27.556,90;
1/3/2019;27.557,89;
2/3/2019;27.558,87;
3/3/2019;27.559,85;
4/3/2019;27.560,84;
5/3/2019;27.561,82;
6/3/2019;27.562,81;
7/3/2019;27.563,79;
8/3/2019;27.564,77;
9/3/2019;27.565,76;
10/3/2019;27.565,76;
11/3/2019;27.565,76;
12/3/2019;27.565,76;
13/3/2019;27.565,76;
14/3/2019;27.565,76;
15/3/2019;27.565,76;
16/3/2019;27.565,76;
